S.No	Product Name	Category	Weight	Price (₹)	Description	Status
2	Chopsticks (Printed)	Cookware & Handicrafts	N/A	40	Reusable printed chopsticks suitable for daily dining and Asian cuisine.	Available
3	Mizoram Aluminium Handmade Mortar and Pestle	Cookware & Handicrafts	N/A	600	Handmade aluminium mortar and pestle, perfect for grinding chutneys, herbs, and spices.	Available
4	Mizoram Standing Plate (Flat)	Cookware & Handicrafts	N/A	700	Traditional handcrafted standing plate from Mizoram for serving or decoration.	Available
5	Mizo Cooker	Cookware & Handicrafts	3 Liter	1500	Traditional Mizo cooking pot with 3-liter capacity for everyday cooking.	Available
6	Mizo Cooker	Cookware & Handicrafts	5 Liter	1800	Traditional Mizo cooking pot with 5-liter capacity.	Available
7	Mizo Cooker	Cookware & Handicrafts	6 Liter	2200	Traditional Mizo cooking pot with 6-liter capacity.	Available
8	Mizo Cooker	Cookware & Handicrafts	8 Liter	2500	Traditional Mizo cooking pot with 8-liter capacity.	Available
9	Naga Wooden Bowl (Small)	Cookware & Handicrafts	Small	300	Authentic handcrafted wooden bowl inspired by traditional Nagaland craftsmanship. Suitable for serving or decoration.	Available
10	Khukri Nepali Special Knife	Cookware & Handicrafts	Length: 34cm, Width: 5cm, Thickness: 0.5cm	1500	Traditional Nepali Khukri utility knife crafted for durability and multipurpose use.	Available
11	Wooden Wine Cup	Cookware & Handicrafts	N/A	350	Handcrafted wooden cup suitable for serving beverages or decorative purposes.	Available
12	Bamboo Cup	Cookware & Handicrafts	N/A	350	Eco-friendly handcrafted bamboo cup for serving beverages.	Available
13	Yongchak Peeler	Cookware & Handicrafts	N/A	30	Handy peeler designed for Yongchak and vegetables.	Currently Unavailable
14	Wooden Plate (Gamari)	Cookware & Handicrafts	N/A	700	Handmade wooden plate crafted from teak and Gamari wood, ideal for serving fruits, snacks, and traditional meals.	Currently Unavailable
15	Mizo Cooker	Cookware & Handicrafts	4 Liter	1650	Traditional Mizo cooking pot with 4-liter capacity.	Currently Unavailable
16	Premium Big Knife	Cookware & Handicrafts	48cm	1000	Heavy-duty handcrafted multipurpose kitchen knife.	Currently Unavailable
17	Naga Wooden Stand Plate	Cookware & Handicrafts	N/A	1800	Handmade wooden serving plate with stand made from teak and Gamari wood, suitable for serving and display.	Currently Unavailable
18	Khasi Knife	Cookware & Handicrafts	N/A	100	Traditional Khasi vegetable knife designed for everyday kitchen use.	Currently Unavailable
S.No	Product Name	Category	Weight/Specification	Price (₹)	Description	Status
1	Mama Punte	Edible	N/A	10	Instant snack product.	Available
2	Mama Bhujia	Edible	N/A	10	Crispy bhujia snack.	Available
3	Kishan Matar	Edible	N/A	10	Roasted green peas snack.	Available
4	Suka Matar	Edible	100gm	50	Dried green peas snack.	Available
5	Pappad (Manipur)	Edible	N/A	25	Traditional Manipuri papad.	Available
6	Mama Big	Edible	N/A	10	Instant snack product.	Available
7	Churpi	Edible	35gm	50	Traditional Himalayan hard cheese snack.	Available
8	Kakwa Watin	Edible	N/A	20	Traditional snack item.	Available
9	Vetrue Rice Cracker Cheese	Edible	N/A	550	Rice crackers with cheese flavor made from rice, vegetable oil, wheat flour, corn flour, starch, cheese, whey powder, milk powder, and sugar.	Available
10	Vetrue Japanese Rice Cracker Egg	Edible	N/A	15	Japanese-style rice crackers with egg yolk flavor.	Available
11	Laphetou (Readymade Salad)	Edible	N/A	170	Traditional Myanmar fermented tea leaf salad.	Available
12	Kangla Bhujia	Edible	Per Pack	10	Crispy snack pack.	Available
13	Golden Sunflower Seeds	Edible	N/A	60	Ready-to-eat roasted sunflower seeds.	Available
14	Myanmar Prunes	Edible	N/A	15	Premium dried prunes.	Available
15	Laphetto	Edible	150gm	150	Burmese fermented tea leaf product.	Available
16	Chicken Sausage	Edible	Per Piece	30	Ready-to-cook chicken sausage.	Available
17	Titora	Edible	1 Piece	60	Traditional preserved fruit snack.	Available
18	Khattu	Edible	100gm	100	Traditional edible product.	Available
19	Sesame Seeds & Perilla Seeds	Edible	Per Pack	30	Mixed sesame and perilla seeds.	Available
20	Sour Plum	Edible	N/A	10	Sweet and sour preserved plum snack.	Available
21	Burma Peanuts	Edible	100gm	50	Premium roasted Burmese peanuts.	Available
22	Cartoon Sunflower Seeds	Edible	N/A	50	Roasted sunflower seed snack.	Available
23	Korean Classic Rice Wafer Snacks	Edible	N/A	500	Traditional Korean crispy rice wafer snack.	Available
24	Potato Spicy Biscuit	Edible	N/A	40	Spicy potato-flavored biscuits.	Available
25	Tiger Sunflower Seeds	Edible	Walnut Flavour	60	Walnut-flavored roasted sunflower seeds.	Currently Unavailable
26	Roasted Seaweed	Edible	10 Sheets	250	Crispy roasted seaweed sheets.	Currently Unavailable
27	Top Sunflower Seeds	Edible	N/A	50	Premium roasted sunflower seeds.	Currently Unavailable
28	Mimki	Edible	N/A	50	Traditional snack product.	Currently Unavailable
S.No	Product Name	Category	Weight/Specification	Price (₹)	Description	Status
1	Citric Acid	Preserved Fruits (Dry)	N/A	20	Naturally occurring food-grade citric acid used in cooking and preserving foods.	Available
2	Tamarind (Green)	Preserved Fruits (Dry)	N/A	10	Preserved green tamarind.	Available
3	Plum	Preserved Fruits (Dry)	1 Packet	10	Preserved plum snack.	Available
4	Happy Tamarind	Preserved Fruits (Dry)	N/A	10	Sweet preserved tamarind snack.	Available
5	Red Tamarind	Preserved Fruits (Dry)	N/A	10	Red preserved tamarind snack.	Available
6	Mango Stick	Preserved Fruits (Dry)	N/A	20	Preserved dried mango sticks.	Available
7	Prunes	Preserved Fruits (Dry)	N/A	15	Naturally preserved dried prunes.	Available
8	Rhus Chinensis (Sumac Powder)	Preserved Fruits (Dry)	N/A	50	Tangy sumac powder used as a seasoning.	Currently Unavailable
S.No	Product Name	Category	Weight/Specification	Price (₹)	Description	Status
1	Mikko	Tea & Coffee	N/A	20	Instant tea mix made with sugar, corn, and milk.	Available
2	Thai Coffee	Tea & Coffee	N/A	25	Premium Thai coffee blend.	Available
3	Sunday Instant Tea Mix	Tea & Coffee	Per Sachet	25	Traditional Myanmar instant tea mix. Simply add 230ml hot water and stir well.	Available
4	Maaza Gold Assam Tea	Tea & Coffee	250gm	180	Premium Assam tea leaves.	Available
5	Melosa Salt Tea	Tea & Coffee	Per Sachet	30	Traditional salt tea mix.	Available
6	Burmese Green Tea	Tea & Coffee	N/A	60	Authentic Burmese green tea.	Currently Unavailable
7	Sunday Instant Coffee Mix	Tea & Coffee	Per Sachet	25	Myanmar 3-in-1 instant coffee mix with sugar, non-dairy creamer, and coffee.	Currently Unavailable
8	Assam Green Tea	Tea & Coffee	100gm	500	100% organic hand-grown Assam green tea.	Currently Unavailable
S.No	Product Name	Category	Weight/Specification	Price (₹)	Description	Status
1	Axone Dry	Fermented Items	100gm	100	Fermented dried soybean, a traditional Northeast Indian delicacy.	Available
2	Telesh Sidol Fermented Fish	Fermented Items	100gm	100	Fermented Telesh (Hilsa/Elish) fish with a milder taste and less bitterness than traditional Ngari.	Available
3	Segmai Ngari Fermented Dry Fish	Fermented Items	N/A	200	Traditional Manipuri fermented freshwater fish prepared with mustard oil and salt. Commonly used in Eromba and other regional dishes.	Available
4	Distilled Fermented Mustard Leaf Liquid	Fermented Items	N/A	300	Fermented mustard leaf juice used for making traditional chutneys and flavoring dishes.	Available
5	Sathu / Saumm	Fermented Items	N/A	70	Traditional fermented pork lard or beef fat used in Northeast Indian cuisine.	Available
6	Mashed Axone (Nagaland)	Fermented Items	N/A	70	Smoked and re-fermented mashed soybean, a key ingredient in Nagaland curries and chutneys.	Available
7	Ngari (Medium Size)	Fermented Items	125gm	100	Traditional fermented fish from Manipur. Original Price: ₹120 (17% OFF).	Available
8	Fermented Bamboo Shoot	Fermented Items	N/A	100	Traditional fermented bamboo shoots widely used in Naga cuisine for curries and chutneys.	Available
9	Naga Ngari	Fermented Items	200gm	200	Traditional fermented fish, an indigenous delicacy of Northeast Indian tribal cuisine.	Available
10	Fermented Soya Beans (Axone Manipur)	Fermented Items	N/A	50	Authentic fermented soybean from Manipur.	Currently Unavailable
11	Sidol / Ngari Paste	Fermented Items	120gm	100	Ready-to-use fermented fish paste for traditional recipes.	Currently Unavailable
S.No	Product Name	Category	Weight/Specification	Price (₹)	Description	Status
1	Passion Fruit Leaf	Fresh Vegetables	N/A	50	Bitter leafy vegetable, traditionally consumed to support healthy blood pressure.	Available
2	Mustard Leaf	Fresh Vegetables	Per Bunch	50	Fresh mustard leaves for boiling, curries, and meat dishes.	Available
3	Bitter Eggplant	Fresh Vegetables	N/A	50	Bitter variety of eggplant used in chutneys, curries, and traditional medicine.	Available
4	Eggplant	Fresh Vegetables	170gm	50	Fresh eggplant suitable for frying, boiling, or cooking with meat and potatoes.	Available
5	Culantro	Fresh Vegetables	Per Bunch	30	Northeast Indian coriander with a strong aromatic flavor.	Available
6	King Chili Fresh	Fresh Vegetables	8–10 Pieces	100	One of the world's hottest chilies, widely used in Northeast Indian cuisine.	Available
7	Chives	Fresh Vegetables	Per Packet	50	Fresh chives used for pakoda, chutney, and Manipuri dishes.	Available
8	Northeast Onion	Fresh Vegetables	Per Bunch	50	Organic local onions mainly used for making chutney.	Available
9	Houttuynia Cordata Roots	Fresh Vegetables	N/A	30	Fresh roots used in salads and chutneys.	Available
10	Jack/Sword Beans	Fresh Vegetables	Per Bunch	50	Nutritious beans rich in vitamins and minerals.	Available
11	BP Control Leaf (Anphui)	Fresh Vegetables	N/A	50	Traditional leafy vegetable commonly consumed with boiled vegetables and meat.	Available
12	Red Small Potato	Fresh Vegetables	N/A	130	Small red fingerling potatoes ideal for roasting and curries.	Available
13	Nepali Mirchi (Dalle Khorsani)	Fresh Vegetables	120gm	100	Highly spicy Nepali chili variety.	Available
14	Assam Nimbu	Fresh Vegetables	2 Pieces	60	Large juicy Assam lemons with a sour flavor.	Available
15	Alocasia Odora (Yendem)	Fresh Vegetables	N/A	50	Traditional edible taro plant used in Northeast cuisine.	Available
16	Beans Leaf	Fresh Vegetables	N/A	50	Nutritious leafy vegetable rich in vitamins and minerals.	Available
17	Lingnamse (Mukthrubi) Timbur Leaf	Fresh Vegetables	N/A	30	Traditional aromatic leaf. Original Price ₹50 (40% OFF).	Available
18	Allium Hookeri Roots & Stem	Fresh Vegetables	N/A	50	Aromatic herb used in fermented foods and seasonings.	Available
19	Hometown Cabbage (Kopisoi)	Fresh Vegetables	N/A	50	Fresh local cabbage variety.	Available
20	Fresh Bamboo Shoot	Fresh Vegetables	500gm	200	Fresh bamboo shoots rich in nutrients and commonly used in Asian cuisine.	Available
21	Sour Leaf (Toiki)	Fresh Vegetables	N/A	50	Sour leafy vegetable for curries and chutneys.	Available
22	Sijou Fresh	Fresh Vegetables	N/A	50	Traditional Kuki vegetable used in rice porridge and meat curry.	Available
23	Brinjal Leaf	Fresh Vegetables	N/A	50	Leafy vegetable that pairs well with meat dishes.	Available
24	Village Bay Leaf (Fresh)	Fresh Vegetables	Per Packet	50	Fresh aromatic bay leaves for cooking and tea.	Available
25	Loklei (Thai Ginger)	Fresh Vegetables	N/A	50	Fresh Thai ginger with aromatic flavor.	Available
26	Galangal Stem (Aidon/Sarei/Tara)	Fresh Vegetables	N/A	50	Tender galangal stems for curries and stir-fries.	Available
27	Mountain Pepper Fresh	Fresh Vegetables	Per Packet	50	Fresh mountain pepper for seasoning.	Available
28	Water Mimosa (Ekai Thabi)	Fresh Vegetables	N/A	50	Aquatic vegetable commonly used in Northeast cooking.	Available
29	Roselle Leaf (Sougri/Gongura)	Fresh Vegetables	Per Bunch	50	Sour leaves ideal for fish and meat dishes.	Available
30	Fresh Turmeric	Fresh Vegetables	150gm	50	Fresh Northeast turmeric.	Available
31	Small Village Chili	Fresh Vegetables	40gm	50	Local spicy chili variety.	Available
32	Fresh Spicy Roots	Fresh Vegetables	5 Pieces	50	Aromatic roots used as spice in meat dishes.	Available
33	Ansa	Fresh Vegetables	N/A	50	Traditional Northeast vegetable.	Available
34	Komprek	Fresh Vegetables	N/A	50	Traditional fresh vegetable.	Available
35	Hometown Mustard	Fresh Vegetables	N/A	50	Fresh local mustard greens.	Available
36	Cranberry Bean (Kolar)	Fresh Vegetables	200gm	50	Fresh cranberry beans from Nagaland.	Available
37	Raw Bamboo Shoot	Fresh Vegetables	Per Kg	250	Fresh raw bamboo shoots.	Available
38	Bekungbul Beans	Fresh Vegetables	N/A	50	Traditional Northeast beans.	Available
39	Pumpkin	Fresh Vegetables	3 Pieces	150	Fresh pumpkins.	Available
40	Wild Basil Leaf	Fresh Vegetables	N/A	30	Aromatic wild basil leaves.	Available
41	Sougri Red	Fresh Vegetables	N/A	50	Traditional sour leafy vegetable.	Available
42	Fresh Mint Leaf / Lomba Leaf / Lengmasel Leaf	Fresh Vegetables	N/A	50	Fresh aromatic herbs used for cooking and chutneys.	Available
43	Banana Flower	Fresh Vegetables	N/A	150	Fresh Banana Flower	Currently Unavailable
44	Water Fox Nuts (Euryale ferox)	Fresh Vegetables	N/A	70	Fresh Water Fox Nuts	Currently Unavailable
45	Centella Asiatica (Pennywort)	Fresh Vegetables	100gm	50	Fresh Centella Asiatica	Currently Unavailable
46	Winged Beans	Fresh Vegetables	Per Bunch	50	Fresh Winged Beans	Currently Unavailable
47	Turkey Berry	Fresh Vegetables	Per Packet	50	Fresh Turkey Berry	Currently Unavailable
48	Dimapur Yam / Kochu / Arvi	Fresh Vegetables	N/A	100	Fresh Yam	Currently Unavailable
49	Pigeon Pea	Fresh Vegetables	100gm	50	Fresh Pigeon Pea	Currently Unavailable
50	Mongche Tender Banyan Leaf	Fresh Vegetables	N/A	10	Fresh Banyan Leaf	Currently Unavailable
51	Green Pea Leaf	Fresh Vegetables	Per Packet	50	Fresh Green Pea Leaf	Currently Unavailable
52	Broad Beans (Hawai Mubi)	Fresh Vegetables	150gm	50	Fresh Broad Beans	Currently Unavailable
53	Senegalia Pennata (Khangkho)	Fresh Vegetables	N/A	60	Fresh Khangkho	Currently Unavailable
54	Fern Fiddle (Dhekia Saag)	Fresh Vegetables	2 Bunches	100	Fresh Fern Fiddle	Currently Unavailable
55	Dysoxylum (Thingthupi)	Fresh Vegetables	N/A	70	Fresh Thingthupi	Currently Unavailable
56	Tamarillo (Tree Tomato)	Fresh Vegetables	5 Pieces	100	Fresh Tamarillo	Currently Unavailable
57	Pumpkin Leaf	Fresh Vegetables	Per Bunch	50	Fresh Pumpkin Leaf	Currently Unavailable
58	Fish Mint Leaf	Fresh Vegetables	N/A	50	Fresh Fish Mint Leaf	Currently Unavailable
59	Chayote/Squash Leaf	Fresh Vegetables	N/A	50	Fresh Squash Leaf	Currently Unavailable
60	Sichuan (Michinga Patta)	Fresh Vegetables	N/A	50	Fresh Sichuan	Currently Unavailable
61	Ginger Flower	Fresh Vegetables	N/A	50	Fresh Ginger Flower	Currently Unavailable
62	Oyster Mushroom Fresh	Fresh Vegetables	200gm	100	Fresh Oyster Mushroom	Currently Unavailable
63	Banana Stem	Fresh Vegetables	Per Piece	50	Fresh Banana Stem	Currently Unavailable
64	Mustard Leaf with Flowers	Fresh Vegetables	N/A	50	Fresh Mustard Leaf	Currently Unavailable
65	Bok Choy	Fresh Vegetables	N/A	60	Fresh Bok Choy	Currently Unavailable
66	Sticky Corn	Fresh Vegetables	3 Pieces	100	Fresh Sticky Corn	Currently Unavailable
67	Lettuce	Fresh Vegetables	200gm	50	Fresh Lettuce	Currently Unavailable
68	Village Beans	Fresh Vegetables	Per Bunch	50	Fresh Village Beans	Currently Unavailable
69	Sponge Gourd	Fresh Vegetables	3 Pieces	50	Fresh Sponge Gourd	Currently Unavailable
70	Ann Nel	Fresh Vegetables	N/A	50	Fresh Ann Nel	Currently Unavailable
71	Baibing Yam Flower	Fresh Vegetables	9 Pieces	50	Fresh Yam Flower	Currently Unavailable
72	Nongmangkha Bitter Vegetables	Fresh Vegetables	Per Packet	50	Fresh Nongmangkha	Currently Unavailable
73	Elephant Apple	Fresh Vegetables	Per Piece	50	Fresh Elephant Apple	Currently Unavailable
74	Radish Seeds	Fresh Vegetables	150gm	50	Fresh Radish Seeds	Currently Unavailable
75	Ankhapi Bitter Leaf	Fresh Vegetables	N/A	50	Fresh Bitter Leaf	Currently Unavailable
76	Kumhoi Pardi (Hill Coriander)	Fresh Vegetables	N/A	50	Fresh Hill Coriander	Currently Unavailable
77	Aidu	Fresh Vegetables	150gm	20	Fresh Aidu	Currently Unavailable
78	Yenbum (Chehlep)	Fresh Vegetables	N/A	50	Fresh Yenbum	Currently Unavailable
79	Turmeric Flower	Fresh Vegetables	N/A	50	Fresh Turmeric Flower	Currently Unavailable
80	Jhum Brinjal	Fresh Vegetables	N/A	50	Fresh Brinjal	Currently Unavailable
81	Ginger with Leaf	Fresh Vegetables	N/A	50	Fresh Ginger	Currently Unavailable
82	Tender Baby Pumpkin	Fresh Vegetables	Per Packet	150	Fresh Baby Pumpkin	Currently Unavailable
83	Kochu Lotti	Fresh Vegetables	Per Bunch	30	Fresh Kochu Lotti	Currently Unavailable
84	Northeast Ash Gourd	Fresh Vegetables	1 Kg	200	Fresh Ash Gourd	Currently Unavailable
85	Red Strong Ginger	Fresh Vegetables	100gm	50	Fresh Red Ginger	Currently Unavailable
86	Water Cress (Sim Rayo Saag)	Fresh Vegetables	N/A	50	Fresh Water Cress	Currently Unavailable
87	Sticky Green Pumpkin	Fresh Vegetables	Per Kg	200	Fresh Green Pumpkin	Currently Unavailable
88	Ahthipah Feija	Fresh Vegetables	N/A	20	Fresh Ahthipah Feija	Currently Unavailable
89	Kawthbel (Chonbeh)	Fresh Vegetables	N/A	50	Fresh Kawthbel	Currently Unavailable
90	Big Chives	Fresh Vegetables	N/A	10	Fresh Big Chives	Currently Unavailable
91	Small Chili with Leaf	Fresh Vegetables	N/A	50	Fresh Chili	Currently Unavailable
92	Wild Mushrooms	Fresh Vegetables	2 Pieces	80	Fresh Wild Mushrooms	Currently Unavailable
93	Village Cucumber	Fresh Vegetables	Per Piece	50	Fresh Cucumber	Currently Unavailable
94	Tender Small Drumstick	Fresh Vegetables	N/A	60	Fresh Drumstick	Currently Unavailable
95	Big Pumpkin	Fresh Vegetables	Per Piece	100	Fresh Big Pumpkin	Currently Unavailable
96	Indian Trumpet Flower	Fresh Vegetables	Per Piece	100	Fresh Indian Trumpet Flower	Currently Unavailable
97	White Gourd	Fresh Vegetables	3 Pieces	30	Fresh White Gourd	Currently Unavailable
98	Lengmasel Lomba Fresh	Fresh Vegetables	N/A	50	Fresh Lengmasel	Currently Unavailable
99	Roselle Flower Fresh	Fresh Vegetables	N/A	50	Fresh Roselle Flower	Currently Unavailable
100	Cherry Tomato	Fresh Vegetables	N/A	60	Fresh Cherry Tomato	Currently Unavailable
101	Allium Hookeri Roots & Leaf	Fresh Vegetables	N/A	50	Fresh Allium Hookeri	Currently Unavailable
102	Yongchak Ready to Cook	Fresh Vegetables	N/A	100	Fresh Yongchak	Currently Unavailable
103	Vohbilche / Yempat	Fresh Vegetables	N/A	50	Fresh Vohbilche	Currently Unavailable
104	Small Bamboo Shoot	Fresh Vegetables	200gm	140	Fresh Bamboo Shoot	Currently Unavailable
105	Taro Leaf with Stem	Fresh Vegetables	N/A	50	Fresh Taro Leaf	Currently Unavailable
106	Passion Fruit	Fresh Vegetables	6 Pieces	100	Fresh Passion Fruit	Currently Unavailable
107	Wild Bamboo	Fresh Vegetables	Per Kg	250	Fresh Wild Bamboo	Currently Unavailable
108	Laiva Bamboo	Fresh Vegetables	3 Pieces	120	Fresh Laiva Bamboo	Currently Unavailable
109	Timbur Fresh Seeds	Fresh Vegetables	N/A	50	Fresh Timbur Seeds	Currently Unavailable
110	Taro Leaf	Fresh Vegetables	N/A	50	Fresh Taro Leaf	Currently Unavailable
111	Hometown Mustard (Manipur)	Fresh Vegetables	N/A	50	Fresh Mustard	Currently Unavailable
112	Jhum Ansa	Fresh Vegetables	N/A	50	Fresh Jhum Ansa	Currently Unavailable
113	Red Tiny Potato	Fresh Vegetables	Per Kg	250	Fresh Potato	Currently Unavailable
114	Nimbu Pata	Fresh Vegetables	N/A	40	Fresh Nimbu Pata	Currently Unavailable
115	Nagaland Yongchak	Fresh Vegetables	3-4 Pieces	100	Fresh Yongchak	Currently Unavailable
116	Long Brinjal	Fresh Vegetables	5 Pieces	50	Fresh Brinjal	Currently Unavailable
117	Phakpai (Vietnamese Coriander)	Fresh Vegetables	N/A	10	Fresh Phakpai	Currently Unavailable
118	Yam Long Stem	Fresh Vegetables	5 Pieces	50	Fresh Yam Stem	Currently Unavailable
S.No	Product Name	Category	Weight/Specification	Price (₹)	Description	Status
1	Paddyfield Snail	Meat Collection	400gm	150	Fresh rice field snails, naturally rich in protein and calcium with low fat content.	Available
2	Village Smoked Buff	Meat Collection	250gm	500	Boneless buffalo meat traditionally smoked over firewood until completely dried.	Available
3	Pork	Meat Collection	N/A	400	Fresh pork suitable for curries, grilling, and traditional recipes.	Available
4	Rocky Snail	Meat Collection	400gm (Per Pack)	150	Fresh rocky snails ideal for traditional Northeast dishes.	Available
5	Buffalo with Bone	Meat Collection	N/A	350	Fresh buffalo meat with bone. Pre-order required at least 1 day in advance.	Available
6	Chicken Tin	Meat Collection	N/A	180	Ready-to-eat canned chicken.	Available
7	Smoked Pork (Regular)	Meat Collection	500gm	400	Pork smoked over firewood/charcoal to achieve an authentic smoky flavor.	Available
8	Crispy Pork Rinds	Meat Collection	60gm	100	Crispy fried pork skin with a rich savory flavor, perfect as a snack.	Available
9	Crispy Buff Rinds	Meat Collection	80gm	200	Crispy buffalo skin snack with a crunchy texture.	Available
10	Dry Frog	Meat Collection	40gm	200	Traditional dried frog used in Northeast India for medicinal purposes and regional dishes.	Currently Unavailable
11	Buff Tin	Meat Collection	N/A	200	Ready-to-eat canned buffalo meat.	Currently Unavailable
12	Fresh Buff Skin	Meat Collection	Per Piece	100	Fresh buffalo skin commonly used for curries and chutneys in Northeast cuisine.	Currently Unavailable
13	Dry Frog	Meat Collection	1 Piece	100	Traditional dried frog for medicinal and culinary use.	Currently Unavailable
14	Crab	Meat Collection	4 Pieces	100	Fresh crabs suitable for curries and seafood dishes.	Currently Unavailable
15	Village Smoked Pork	Meat Collection	Per Kg	1500	Authentic village-style pork smoked over firewood for several days, offering a rich traditional smoky taste.	Currently Unavailable
S.No	Product Name	Category	Weight/Specification	Price (₹)	Description	Status
1	Shredded Beef Pickle	Pickle Items	N/A	150	Traditional shredded beef pickle with authentic Northeast flavors.	Available
1	Chestnut	Edible	100gm	50	Premium chestnuts suitable for roasting and snacking.	Currently Unavailable
1	Tuibuh	Mix Collection	N/A	300	Traditional Northeast product.	Available
2	Gul Tooth Cleaner	Mix Collection	N/A	30	Traditional tooth cleaning powder.	Available
3	Local Sada Leaf	Mix Collection	Per Pack (5 Pieces)	50	Traditional betel leaf from Assam.	Available
4	Betel Nuts (Tamul)	Mix Collection	6 Pieces	50	Fresh betel nuts commonly consumed with betel leaves.	Available
5	Titli Hink	Mix Collection	N/A	100	Traditional hing (asafoetida) seasoning.	Available
6	Prawn Cracker	Mix Collection	N/A	100	Artisanal Sikkim prawn crackers. No MSG and gluten-free.	Available
7	Limestone Chuna	Mix Collection	90gm	50	Food-grade lime commonly used with betel leaves.	Available
8	Mizo Sada	Mix Collection	N/A	30	Traditional Mizo chewing product. For adults (18+) only. Consumption of tobacco products is injurious to health.	Available
9	Sajan	Mix Collection	N/A	50	Traditional chewing product. For adults (18+) only. Consumption of tobacco products is injurious to health.	Available
10	Rally	Mix Collection	N/A	40	Tobacco chewing product. For adults (18+) only. Consumption of tobacco products is injurious to health.	Available
11	Sada Daba Box	Mix Collection	N/A	30	Storage box for traditional sada products.	Available
12	Janata Biri	Mix Collection	Per Piece	30	Traditional biri. For adults (18+) only. Smoking is injurious to health.	Available
13	Sankha Biri	Mix Collection	N/A	30	Traditional biri. For adults (18+) only. Smoking is injurious to health.	Available
14	Talab	Mix Collection	N/A	500	Traditional adult-use tobacco product. For adults (18+) only.	Available
15	Nevla	Mix Collection	N/A	30	Traditional chewing product. For adults (18+) only.	Available
16	Kaka	Mix Collection	N/A	20	Traditional chewing product. For adults (18+) only.	Available
17	Zouziel Mizoram Local Biri	Mix Collection	N/A	30	Traditional Mizo biri. For adults (18+) only. Smoking is injurious to health.	Available
18	Nepali Yeast	Mix Collection	50gm	50	Traditional yeast used for preparing fermented rice beverages.	Available
19	Valiant	Mix Collection	N/A	230	Adult-use tobacco product. For adults (18+) only.	Available
20	Golden	Mix Collection	N/A	40	Adult-use tobacco product. For adults (18+) only.	Available
21	Win	Mix Collection	N/A	200	Adult-use tobacco product. For adults (18+) only.	Available
22	FarStar KingSize	Mix Collection	N/A	230	King-size tobacco product. For adults (18+) only.	Available
23	Manipur Yeast	Mix Collection	50gm	50	Traditional yeast used to prepare Northeast rice beer.	Currently Unavailable
24	Olive / Jolpai / Jonmot / Chorphon Sour Fruit	Mix Collection	200gm	50	Fresh sour fruit commonly used in pickles and traditional dishes.	Currently Unavailable
25	Prunes / Boroi Dry Fruit	Mix Collection	100gm	50	Premium dried prunes (Boroi).	Currently Unavailable
